"Unit_No","Obs_No","SAMPLE_NO","collected_date","Chem_Code","Chem_Name","Chem_Value","Chem_Unit_Code"
"6040-21","WRA027",85465,"04/10/1988","CARB","Carbonate Hardness as CaCO3",370,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","Cl","Chloride",1393,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","DST","Sodium/Total Cations Ratio",88,"%"
"6040-21","WRA027",85465,"04/10/1988","EC","Electroconductivity",5800,"us/cm"
"6040-21","WRA027",85465,"04/10/1988","HARD","Total Hardness as CaCO3",800,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","HCO3","Bicarbonate",348.5,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","K","Potassium",39,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","Mg","Magnesium",104,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","Na","Sodium",944,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","NO3(N)","Nitrate as N",0.1,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","NONCARB","Non-Carbonate Hardness as CaCO3",430,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","pH","Acidity/Alkalinity",7.2,"pH"
"6040-21","WRA027",85465,"04/10/1988","RESIST","Resistivity",1.7,"ohm/m"
"6040-21","WRA027",85465,"04/10/1988","SO4","Sulphate",649,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","TDS_CALC","Total Dissolved Solids - Calculated",3452,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","TDS_EC","Total Dissolved Solids - Based on EC",3405,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","ALK","Alkanity as CaCO3",212,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","Ca","Calcium",40.5,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","CARB","Carbonate Hardness as CaCO3",127,"mg/L"
"6041-37","WRA012",1705660,"15 Sep 1980","Cl","Chloride",979,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","DST","Sodium/Total Cations Ratio",93.3,"%"
"6041-37","WRA012",1705660,"15/09/1980","EC","Electroconductivity",3749,"us/cm"
"6041-37","WRA012",1705660,"1980-09-15","HARD","Total Hardness as CaCO3",127,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","HCO3","Bicarbonate",258,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","K","Potassium",10.5,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","Mg","Magnesium",6.2,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","Na","Sodium",900,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","NO3","Nitrate",1,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
"6041-37","WRA012",1705660,"15/09/1980","pH","Acidity/Alkalinity",8,"pH"
"6041-37","WRA012",1705660,"15/09/1980","SO4","Sulphate",405,"mg/L"
"6041-37","WRA012",1705660,"15 Sep 1980","TDS_CALC","Total Dissolved Solids - Calculated",2468,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","ALK","Alkanity as CaCO3",219,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","Ca","Calcium",44,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","CARB","Carbonate Hardness as CaCO3",133,"mg/L"
"6041-37","WRA012",85493,"11/16/1986","Cl","Chloride",972,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","DST","Sodium/Total Cations Ratio",3,"%"
"6041-37","WRA012",85493,"16/11/1986","EC","Electroconductivity",4050,"us/cm"
"6041-37","WRA012",85493,"16/11/1986","HARD","Total Hardness as CaCO3",133,"mg/L"
"6041-37","WRA012",85493,"11/16/1986","HCO3","Bicarbonate",267,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","K","Potassium",6.5,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","Mg","Magnesium",5.6,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","Na","Sodium",810,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"6041-37","WRA012",85493,"16 Nov 1986","pH","Acidity/Alkalinity",7.9,"pH"
"6041-37","WRA012",85493,"11/16/1986","RESIST","Resistivity",2.5,"ohm/m"
"6041-37","WRA012",85493,"16/11/1986","SO4","Sulphate",375,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",2340,"mg/L"
"6041-37","WRA012",85493,"16/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",2340,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","ALK","Alkanity as CaCO3",211,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","Br","Bromide",2,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","Ca","Calcium",45.7,"mg/L"
"6041-37","WRA012",1705661,"34947","CARB","Carbonate Hardness as CaCO3",140,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","Cl","Chloride",937,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","CO2","Carbon Dioxide: Free Carbon Dioxide (water analysis)",7,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","EC","Electroconductivity",4090,"us/cm"
"6041-37","WRA012",1705661,"05-09-1995","F","Fluoride",0.83,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","HARD","Total Hardness as CaCO3",140,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","HCO3","Bicarbonate",258,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","K","Potassium",13.3,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","Mg","Magnesium",6.3,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","Na","Sodium",800,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","NO3","Nitrate",0.01,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","pH","Acidity/Alkalinity",7.8,"pH"
"6041-37","WRA012",1705661,"05/09/1995","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",17,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","SO4","Sulphate",371,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","TDS_CALC","Total Dissolved Solids - Calculated",2320,"mg/L"
"6041-37","WRA012",1705661,"05/09/1995","TDS_EC","Total Dissolved Solids - Based on EC",2300,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","ALK","Alkanity as CaCO3",652,"mg/L"
"6139-22","BKN005",85606,"28782","Ca","Calcium",140,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","CARB","Carbonate Hardness as CaCO3",481,"mg/L"
"6139-22","BKN005",85606,"19-10-1978","Cl","Chloride",2457,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","EC","Electroconductivity",8367,"us/cm"
"6139-22","BKN005",85606,"19/10/1978","HARD","Total Hardness as CaCO3",481,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","HCO3","Bicarbonate",795,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","K","Potassium",61,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","Mg","Magnesium",32,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","Na","Sodium",1699,"mg/L"
"6139-22","BKN005",85606,"28782","pH","Acidity/Alkalinity",7.7,"pH"
"6139-22","BKN005",85606,"28782","SO4","Sulphate",340,"mg/L"
"6139-22","BKN005",85606,"19/10/1978","TDS_CALC","Total Dissolved Solids - Calculated",5120,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Cd","Cadmium",6e-04,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Co","Cobalt",0.001,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Cr","Chromium",0.001,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Cu","Copper",0.005,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Fe","Iron: Iron Total (water analysis)",0.9,"mg/L"
"6139-22","BKN005",1705724,"1980-10-01","Mn","Manganese",0.235,"mg/L"
"6139-22","BKN005",1705724,"1980-10-01","Mo","Molybdenum",0.002,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Ni","Nickel",0.001,"mg/L"
"6139-22","BKN005",1705724,"01/10/80","Pb","Lead",0.001,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","U","Uranium",6e-04,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","V","Vanadium",0.01,"mg/L"
"6139-22","BKN005",1705724,"01/10/1980","Zn","Zinc",0.001,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","ALK","Alkanity as CaCO3",464,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","Ca","Calcium",149,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","CARB","Carbonate Hardness as CaCO3",500,"mg/L"
"6139-22","BKN005",85607,"31736","Cl","Chloride",2450,"mg/L"
"6139-22","BKN005",85607,"20 Nov 1986","DST","Sodium/Total Cations Ratio",27,"%"
"6139-22","BKN005",85607,"20/11/1986","HARD","Total Hardness as CaCO3",500,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","HCO3","Bicarbonate",567,"mg/L"
"6139-22","BKN005",85607,"11/20/1986","K","Potassium",51,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","Mg","Magnesium",31,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","Na","Sodium",1760,"mg/L"
"6139-22","BKN005",85607,"31736","NO3(N)","Nitrate as N",0.7,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","pH","Acidity/Alkalinity",7.4,"pH"
"6139-22","BKN005",85607,"20/11/1986","RESIST","Resistivity",1.2,"ohm/m"
"6139-22","BKN005",85607,"20/11/1986","SAR","Sodium Adsorption Ratio",87.1,"RATIO"
"6139-22","BKN005",85607,"20/11/1986","SO4","Sulphate",380,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",5100,"mg/L"
"6139-22","BKN005",85607,"20/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",5110,"mg/L"
"6139-22","BKN005",1663156,"01/10/2008","ALK","Alkanity as CaCO3",595,"mg/L"
"6139-22","BKN005",1663156,"01/10/2008","DO","Dissolved Oxygen",5.54,"mg/L"
"6139-22","BKN005",1663156,"01/10/2008","EC","Electroconductivity",8753,"us/cm"
"6139-22","BKN005",1663156,"01/10/2008","Eh","Redox Potential",-12.2,"mV"
"6139-22","BKN005",1663156,"01/10/2008","Field pH","Field pH",6.08,"pH"
"6140-39","WRA021",1705758,"05/09/1980","ALK","Alkanity as CaCO3",174,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","Ca","Calcium",220,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","CARB","Carbonate Hardness as CaCO3",174,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","Cl","Chloride",2034,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","DST","Sodium/Total Cations Ratio",78.8,"%"
"6140-39","WRA021",1705758,"05/09/1980","EC","Electroconductivity",7498,"us/cm"
"6140-39","WRA021",1705758,"05/09/1980","HARD","Total Hardness as CaCO3",735,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","HCO3","Bicarbonate",213,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","K","Potassium",44.5,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","Mg","Magnesium",45,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","Na","Sodium",1350,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","NO3","Nitrate",1,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","NONCARB","Non-Carbonate Hardness as CaCO3",560,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","pH","Acidity/Alkalinity",8,"pH"
"6140-39","WRA021",1705758,"05/09/1980","SO4","Sulphate",620,"mg/L"
"6140-39","WRA021",1705758,"05/09/1980","TDS_CALC","Total Dissolved Solids - Calculated",4418,"mg/L"
"6140-39","WRA021",85629,"11/18/1986","ALK","Alkanity as CaCO3",179,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","Ca","Calcium",215,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","CARB","Carbonate Hardness as CaCO3",179,"mg/L"
"6140-39","WRA021",85629,"31734","Cl","Chloride",208,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","DST","Sodium/Total Cations Ratio",3,"%"
"6140-39","WRA021",85629,"18/11/1986","EC","Electroconductivity",7500,"us/cm"
"6140-39","WRA021",85629,"18/11/1986","HARD","Total Hardness as CaCO3",738,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","HCO3","Bicarbonate",218,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","K","Potassium",29,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","Mg","Magnesium",49,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","Na","Sodium",1350,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","NONCARB","Non-Carbonate Hardness as CaCO3",560,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","pH","Acidity/Alkalinity",7,"pH"
"6140-39","WRA021",85629,"18/11/1986","RESIST","Resistivity",1.3,"ohm/m"
"6140-39","WRA021",85629,"18/11/1986","SAR","Sodium Adsorption Ratio",79.1,"RATIO"
"6140-39","WRA021",85629,"18/11/1986","SO4","Sulphate",630,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",4450,"mg/L"
"6140-39","WRA021",85629,"18/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",4470,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","ALK","Alkanity as CaCO3",224,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","Ca","Calcium",61,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","CARB","Carbonate Hardness as CaCO3",220,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","Cl","Chloride",992,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","DST","Sodium/Total Cations Ratio",88.6,"%"
"6141-47","WRA020",1705795,"10/09/1980","EC","Electroconductivity",3946,"us/cm"
"6141-47","WRA020",1705795,"10/09/1980","HARD","Total Hardness as CaCO3",220,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","HCO3","Bicarbonate",273,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","K","Potassium",16,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","Mg","Magnesium",16.5,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","Na","Sodium",860,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","NO3","Nitrate",2,"mg/L"
"6141-47","WRA020",1705795,"10.09.1980","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
"6141-47","WRA020",1705795,"10/09/1980","pH","Acidity/Alkalinity",7.9,"pH"
"6141-47","WRA020",1705795,"10/09/1980","SO4","Sulphate",410,"mg/L"
"6141-47","WRA020",1705795,"29474","TDS_CALC","Total Dissolved Solids - Calculated",2492,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","ALK","Alkanity as CaCO3",230,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","Ca","Calcium",72,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","CARB","Carbonate Hardness as CaCO3",246,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","Cl","Chloride",990,"mg/L"
"6141-47","WRA020",85661,"31733","DST","Sodium/Total Cations Ratio",3,"%"
"6141-47","WRA020",85661,"17/11/1986","EC","Electroconductivity",4150,"us/cm"
"6141-47","WRA020",85661,"17/11/1986","HARD","Total Hardness as CaCO3",246,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","HCO3","Bicarbonate",280,"mg/L"
"6141-47","WRA020",85661,"17 Nov 1986","K","Potassium",11,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","Mg","Magnesium",16,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","Na","Sodium",790,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","pH","Acidity/Alkalinity",7.5,"pH"
